sno,Circle,Name of the Monument ,Domestic-2019-20,Foreign-2019-20,Domestic-2020-21,Foreign-2020-21,% Growth 2021-21/2019-20-Domestic,% Growth 2021-21/2019-20-Foreign
57,Jabalpur,"Western Group of Temples, Khajuraho",244995,41741,128515,275,-47.54,-99.34
58,Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",57408,42,23598,13,-58.89,-69.05
59,Total,Total,325757,41801,168659,296,-48.23,-99.29
60,Dharwad,Durga temple complex Aihole,186767,3849,75089,99,-59.8,-97.43
61,Dharwad,"Jaina & Vaishnava Cave, Badami",372051,6758,172259,167,-53.7,-97.53
62,Dharwad,Group of Monuments (WH) Pattadakal,262144,4310,123110,61,-53.04,-98.58
63,Dharwad,"Gol Gumbaz, Vijayapura",813943,1683,283256,75,-65.2,-95.54
64,Dharwad,"Ibrahim Rauza, Bijapur",155565,1290,57759,12,-62.87,-99.07
65,Dharwad,"Temples & Sculpture Shed, lakkumdi",13019,91,5652,0,-56.59,-100
66,Total,Total,1803489,17981,717125,414,-60.24,-97.7
67,Hampi,"Group of Monuments, Hampi",587238,27006,273456,627,-53.43,-97.68
68,Hampi,Bellary Fort,28723,56,11069,9,-61.46,-83.93
69,Total,Total,615961,27062,284525,636,-53.81,-97.65
70,Banglore,Dariya Daulath Bagh,646560,14016,89006,306,-86.23,-97.82
71,Banglore,Keshava Temple,178425,8653,64222,196,-64.01,-97.73
72,Banglore,Palace of Tipu Sultan,256964,10719,38706,270,-84.94,-97.48
73,Banglore,Fortress and Temple Chitrudurga Fort,338340,1095,144862,297,-57.18,-72.88
74,Total,Total,1420289,34483,336796,1069,-76.29,-96.9
75,Raiganj,Cooch Bihar Palace,465553,52,126135,161,-72.91,209.62
76,Raiganj,Hazarduari Palace,674113,1723,361546,649,-46.37,-62.33
77,Total,Total,1139666,1775,487681,810,-57.21,-54.37
78,Kolkata,Bishnupur Temples,154986,505,117107,237,-24.44,-53.07
79,Kolkata,Metcelf-Hall,605,27,7818,24,1192.23,-11.11
80,Total,Total,155591,532,124925,261,-19.71,-50.94
81,Rajkot,"Asokan Rock Edict, Jungadh",6176,168,10498,16,69.98,-90.48
82,Rajkot,"Buddhish Caves, Junagadh",18755,796,58,0,-99.69,-100
83,Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",5858,142,1691,1,-71.13,-99.3
84,Total,Total,30789,1106,12247,17,-60.22,-98.46
85,Vadodara,"Champaner Monuments, Pavagadh",59402,1948,39014,81,-34.32,-95.84
86,Vadodara,"Sun temple, Modhera",208028,3732,85407,103,-58.94,-97.24
87,Vadodara,"Rani Ki-Vav, Patan",337134,3816,96900,143,-71.26,-96.25
88,Vadodara,"Rudabai Step Well, Adalaj",388042,7907,86840,204,-77.62,-97.42
89,Total,Total,992606,17403,308161,531,-68.95,-96.95
90,Bhubaneswar,"Sun Temple, Konark",1997427,5294,530886,142,-73.42,-97.32
91,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,311115,2489,73727,57,-76.3,-97.71
92,Bhubaneswar,Rajarani Temple,16916,506,8237,3,-51.31,-99.41
93,Bhubaneswar,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,34562,571,20616,20,-40.35,-96.5
94,Bhubaneswar,Ruins of Buddhist Temples and Images lalitgiri,44573,389,18359,8,-58.81,-97.94
95,Total,Total,2404593,9249,651825,230,-72.89,-97.51
96,Aurangabad,Ajanta Caves,273344,15899,47554,82,-82.6,-99.48
97,Aurangabad,Ellora Caves,1259261,21426,163313,159,-87.03,-99.26
98,Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),1111778,9530,203791,100,-81.67,-98.95
99,Aurangabad,Daulatabad Fort,515935,5729,105434,49,-79.56,-99.14
100,Aurangabad,Pandulena Caves,202871,1128,29,0,-99.99,-100
